"","x"
"455"," Fairy
"
"456"," —
"
"457"," 10
"
"458"," 2560
"
"459"," 2816
"
"460"," 2805
"
"461"," 2570
"
"462"," 2560
"
"463"," 040
"
"464"," 
"
"465"," Wigglytuff
"
"466"," Fairy
"
"467"," —
"
"468"," 10
"
"469"," 2560
"
"470"," 2816
"
"471"," 2805
"
"472"," 2570
"
"473"," 2560
"
"474"," 041
"
"475"," 
"
"476"," Zubat
"
"477"," Flying
"
"478"," —
"
"479"," 15
"
"480"," 3840
"
"481"," 4096
"
"482"," 4080
"
"483"," 3855
"
"484"," 3840
"
"485"," 042
"
"486"," 
"
"487"," Golbat
"
"488"," Flying
"
"489"," —
"
"490"," 15
"
"491"," 3840
"
"492"," 4096
"
"493"," 4080
"
"494"," 3855
"
"495"," 3840
"
"496"," 169
"
"497"," 
"
"498"," Crobat
"
"499"," Flying
"
"500"," —
"
"501"," 15
"
"502"," 3840
"
"503"," 4096
"
"504"," 4080
"
"505"," 3855
"
"506"," 3840
"
"507"," 043
"
"508"," 
"
"509"," Oddish
"
"510"," Grass
"
"511"," —
"
"512"," 20
"
"513"," 5120
"
"514"," 5376
"
"515"," 5355
"
"516"," 5140
"
"517"," 5120
"
"518"," 044
"
"519"," 
"
"520"," Gloom
"
"521"," Grass
"
"522"," —
"
"523"," 20
"
"524"," 5120
"
"525"," 5376
"
"526"," 5355
"
"527"," 5140
"
"528"," 5120
"
"529"," 045
"
"530"," 
"
"531"," Vileplume
"
"532"," Grass
"
"533"," —
"
"534"," 20
"
"535"," 5120
"
"536"," 5376
"
"537"," 5355
"
"538"," 5140
"
"539"," 5120
"
"540"," 182
"
"541"," 
"
"542"," Bellossom
"
"543"," Grass
"
"544"," —
"
"545"," 20
"
"546"," 5120
"
"547"," 5376
"
"548"," 5355
"
"549"," 5140
"
"550"," 5120
"
"551"," 046
"
"552"," 
"
"553"," Paras
"
"554"," Bug
"
"555"," Grass
"
"556"," 20
"
"557"," 5120
"
"558"," 5376
"
"559"," 5355
"
"560"," 5140
"
"561"," 5120
"
"562"," 047
"
"563"," 
"
"564"," Parasect
"
"565"," Bug
"
"566"," Grass
"
"567"," 20
"
"568"," 5120
"
"569"," 5376
"
"570"," 5355
"
"571"," 5140
"
"572"," 5120
"
"573"," 048
"
"574"," 
"
"575"," Venonat
"
"576"," Bug
"
"577"," —
"
"578"," 20
"
"579"," 5120
"
"580"," 5376
"
"581"," 5355
"
"582"," 5140
"
"583"," 5120
"
"584"," 049
"
"585"," 
"
"586"," Venomoth
"
"587"," Bug
"
"588"," —
"
"589"," 20
"
"590"," 5120
"
"591"," 5376
"
"592"," 5355
"
"593"," 5140
"
"594"," 5120
"
"595"," 050
"
"596"," 
"
"597"," Diglett
"
"598"," Field
"
"599"," —
"
"600"," 20
"
"601"," 5120
"
"602"," 5376
"
"603"," 5355
"
"604"," 5140
"
"605"," 5120
"
"606"," 051
"
"607"," 
"
"608"," Dugtrio
"
"609"," Field
"
"610"," —
"
"611"," 20
"
"612"," 5120
"
"613"," 5376
"
"614"," 5355
"
"615"," 5140
"
"616"," 5120
"
"617"," 052
"
"618"," 
"
"619"," Meowth
"
"620"," Field
"
"621"," —
"
"622"," 20
"
"623"," 5120
"
"624"," 5376
"
"625"," 5355
"
"626"," 5140
"
"627"," 5120
"
"628"," 053
"
"629"," 
"
"630"," Persian
"
"631"," Field
"
"632"," —
"
"633"," 20
"
"634"," 5120
"
"635"," 5376
"
"636"," 5355
"
"637"," 5140
"
"638"," 5120
"
"639"," 054
"
"640"," 
"
"641"," Psyduck
"
"642"," Water 1
"
"643"," Field
"
"644"," 20
"
"645"," 5120
"
"646"," 5376
"
"647"," 5355
"
"648"," 5140
"
"649"," 5120
"
"650"," 055
"
"651"," 
"
"652"," Golduck
"
"653"," Water 1
"
"654"," Field
"
"655"," 20
"
"656"," 5120
"
"657"," 5376
"
"658"," 5355
"
"659"," 5140
"
"660"," 5120
"
"661"," 056
"
"662"," 
"
"663"," Mankey
"
"664"," Field
"
"665"," —
"
"666"," 20
"
"667"," 5120
"
"668"," 5376
"
"669"," 5355
"
"670"," 5140
"
"671"," 5120
"
"672"," 057
"
"673"," 
"
"674"," Primeape
"
"675"," Field
"
"676"," —
"
"677"," 20
"
"678"," 5120
"
"679"," 5376
"
"680"," 5355
"
"681"," 5140
"
"682"," 5120
"
"683"," 058
"
"684"," 
"
"685"," Growlithe
"
"686"," Field
"
"687"," —
"
"688"," 20
"
"689"," 5120
"
"690"," 5376
"
"691"," 5355
"
"692"," 5140
"
"693"," 5120
"
"694"," 059
"
"695"," 
"
"696"," Arcanine
"
"697"," Field
"
"698"," —
"
"699"," 20
"
"700"," 5120
"
"701"," 5376
"
"702"," 5355
"
"703"," 5140
"
"704"," 5120
"
"705"," 060
"
"706"," 
"
"707"," Poliwag
"
"708"," Water 1
"
"709"," —
"
"710"," 20
"
"711"," 5120
"
"712"," 5376
"
"713"," 5355
"
"714"," 5140
"
"715"," 5120
"
"716"," 061
"
"717"," 
"
"718"," Poliwhirl
"
"719"," Water 1
"
"720"," —
"
"721"," 20
"
"722"," 5120
"
"723"," 5376
"
"724"," 5355
"
"725"," 5140
"
"726"," 5120
"
"727"," 062
"
"728"," 
"
"729"," Poliwrath
"
"730"," Water 1
"
"731"," —
"
"732"," 20
"
"733"," 5120
"
"734"," 5376
"
"735"," 5355
"
"736"," 5140
"
"737"," 5120
"
"738"," 186
"
"739"," 
"
"740"," Politoed
"
"741"," Water 1
"
"742"," —
"
"743"," 20
"
"744"," 5120
"
"745"," 5376
"
"746"," 5355
"
"747"," 5140
"
"748"," 5120
"
"749"," 063
"
"750"," 
"
"751"," Abra
"
"752"," Human-Like
"
"753"," —
"
"754"," 20
"
"755"," 5120
"
"756"," 5376
"
"757"," 5355
"
"758"," 5140
"
"759"," 5120
"
"760"," 064
"
"761"," 
"
"762"," Kadabra
"
"763"," Human-Like
"
"764"," —
"
"765"," 20
"
"766"," 5120
"
"767"," 5376
"
"768"," 5355
"
"769"," 5140
"
"770"," 5120
"
"771"," 065
"
"772"," 
"
"773"," Alakazam
"
"774"," Human-Like
"
"775"," —
"
"776"," 20
"
"777"," 5120
"
"778"," 5376
"
"779"," 5355
"
"780"," 5140
"
"781"," 5120
"
"782"," 066
"
"783"," 
"
"784"," Machop
"
"785"," Human-Like
"
"786"," —
"
"787"," 20
"
"788"," 5120
"
"789"," 5376
"
"790"," 5355
"
"791"," 5140
"
"792"," 5120
"
"793"," 067
"
"794"," 
"
"795"," Machoke
"
"796"," Human-Like
"
"797"," —
"
"798"," 20
"
"799"," 5120
"
"800"," 5376
"
"801"," 5355
"
"802"," 5140
"
"803"," 5120
"
"804"," 068
"
"805"," 
"
"806"," Machamp
"
"807"," Human-Like
"
"808"," —
"
"809"," 20
"
"810"," 5120
"
"811"," 5376
"
"812"," 5355
"
"813"," 5140
"
"814"," 5120
"
"815"," 069
"
"816"," 
"
"817"," Bellsprout
"
"818"," Grass
"
"819"," —
"
"820"," 20
"
"821"," 5120
"
"822"," 5376
"
"823"," 5355
"
"824"," 5140
"
"825"," 5120
"
"826"," 070
"
"827"," 
"
"828"," Weepinbell
"
"829"," Grass
"
"830"," —
"
"831"," 20
"
"832"," 5120
"
"833"," 5376
"
"834"," 5355
"
"835"," 5140
"
"836"," 5120
"
"837"," 071
"
"838"," 
"
"839"," Victreebel
"
"840"," Grass
"
"841"," —
"
"842"," 20
"
"843"," 5120
"
"844"," 5376
"
"845"," 5355
"
"846"," 5140
"
"847"," 5120
"
"848"," 072
"
"849"," 
"
"850"," Tentacool
"
"851"," Water 3
"
"852"," —
"
"853"," 20
"
"854"," 5120
"
"855"," 5376
"
"856"," 5355
"
"857"," 5140
"
"858"," 5120
"
"859"," 073
"
"860"," 
"
"861"," Tentacruel
"
"862"," Water 3
"
"863"," —
"
"864"," 20
"
"865"," 5120
"
"866"," 5376
"
"867"," 5355
"
"868"," 5140
"
"869"," 5120
"
"870"," 074
"
"871"," 
"
"872"," Geodude
"
"873"," Mineral
"
"874"," —
"
"875"," 15
"
"876"," 3840
"
"877"," 4096
"
"878"," 4080
"
"879"," 3855
"
"880"," 3840
"
"881"," 075
"
"882"," 
"
"883"," Graveler
"
"884"," Mineral
"
"885"," —
"
"886"," 15
"
"887"," 3840
"
"888"," 4096
"
"889"," 4080
"
"890"," 3855
"
"891"," 3840
"
"892"," 076
"
"893"," 
"
"894"," Golem
"
"895"," Mineral
"
"896"," —
"
"897"," 15
"
"898"," 3840
"
"899"," 4096
"
"900"," 4080
"
"901"," 3855
"
"902"," 3840
"
"903"," 077
"
"904"," 
"
"905"," Ponyta
"
"906"," Field
"
"907"," —
"
"908"," 20
"
"909"," 5120
"
"910"," 5376
"
"911"," 5355
"
"912"," 5140
"
"913"," 5120
"
"914"," 078
"
"915"," 
"
"916"," Rapidash
"
"917"," Field
"
"918"," —
"
"919"," 20
"
"920"," 5120
"
"921"," 5376
"
"922"," 5355
"
"923"," 5140
"
"924"," 5120
"
"925"," 079
"
"926"," 
"
"927"," Slowpoke
"
"928"," Monster
"
"929"," Water 1
"
"930"," 20
"
"931"," 5120
"
"932"," 5376
"
"933"," 5355
"
"934"," 5140
"
"935"," 5120
"
"936"," 080
"
"937"," 
"
"938"," Slowbro
"
"939"," Monster
"
"940"," Water 1
"
"941"," 20
"
"942"," 5120
"
"943"," 5376
"
"944"," 5355
"
"945"," 5140
"
"946"," 5120
"
"947"," 199
"
"948"," 
"
"949"," Slowking
"
"950"," Monster
"
"951"," Water 1
"
"952"," 20
"
"953"," 5120
"
"954"," 5376
"
"955"," 5355
"
"956"," 5140
"
"957"," 5120
"
"958"," 081
"
"959"," 
"
"960"," Magnemite
"
"961"," Mineral
"
"962"," —
"
"963"," 20
"
"964"," 5120
"
"965"," 5376
"
"966"," 5355
"
"967"," 5140
"
"968"," 5120
"
"969"," 082
"
"970"," 
"
"971"," Magneton
"
"972"," Mineral
"
"973"," —
"
"974"," 20
"
"975"," 5120
"
"976"," 5376
"
"977"," 5355
"
"978"," 5140
"
"979"," 5120
"
"980"," 462
"
"981"," 
"
"982"," Magnezone
"
"983"," Mineral
"
"984"," —
"
"985"," 20
"
"986"," —
"
"987"," —
"
"988"," 5355
"
"989"," 5140
"
"990"," 5120
"
"991"," 083
"
"992"," 
"
"993"," Farfetch'd
"
"994"," Flying
"
"995"," Field
"
"996"," 20
"
"997"," 5120
"
"998"," 5376
"
"999"," 5355
"
"1000"," 5140
"
"1001"," 5120
"
"1002"," 084
"
"1003"," 
"
"1004"," Doduo
"
"1005"," Flying
"
"1006"," —
"
"1007"," 20
"
"1008"," 5120
"
"1009"," 5376
"
"1010"," 5355
"
"1011"," 5140
"
"1012"," 5120
"
"1013"," 085
"
"1014"," 
"
"1015"," Dodrio
"
"1016"," Flying
"
"1017"," —
"
"1018"," 20
"
"1019"," 5120
"
"1020"," 5376
"
"1021"," 5355
"
"1022"," 5140
"
"1023"," 5120
"
"1024"," 086
"
"1025"," 
"
"1026"," Seel
"
"1027"," Water 1
"
"1028"," Field
"
"1029"," 20
"
"1030"," 5120
"
"1031"," 5376
"
"1032"," 5355
"
"1033"," 5140
"
"1034"," 5120
"
"1035"," 087
"
"1036"," 
"
"1037"," Dewgong
"
"1038"," Water 1
"
"1039"," Field
"
"1040"," 20
"
"1041"," 5120
"
"1042"," 5376
"
"1043"," 5355
"
"1044"," 5140
"
"1045"," 5120
"
"1046"," 088
"
"1047"," 
"
"1048"," Grimer
"
"1049"," Amorphous
"
"1050"," —
"
"1051"," 20
"
"1052"," 5120
"
"1053"," 5376
"
"1054"," 5355
"
"1055"," 5140
"
"1056"," 5120
"
"1057"," 089
"
"1058"," 
"
"1059"," Muk
"
"1060"," Amorphous
"
"1061"," —
"
"1062"," 20
"
"1063"," 5120
"
"1064"," 5376
"
"1065"," 5355
"
"1066"," 5140
"
"1067"," 5120
"
"1068"," 090
"
"1069"," 
"
"1070"," Shellder
"
"1071"," Water 3
"
"1072"," —
"
"1073"," 20
"
"1074"," 5120
"
"1075"," 5376
"
"1076"," 5355
"
"1077"," 5140
"
"1078"," 5120
"
"1079"," 091
"
"1080"," 
"
"1081"," Cloyster
"
"1082"," Water 3
"
"1083"," —
"
"1084"," 20
"
"1085"," 5120
"
"1086"," 5376
"
"1087"," 5355
"
"1088"," 5140
"
"1089"," 5120
"
"1090"," 092
"
"1091"," 
"
"1092"," Gastly
"
"1093"," Amorphous
"
"1094"," —
"
"1095"," 20
"
"1096"," 5120
"
"1097"," 5376
"
"1098"," 5355
"
"1099"," 5140
"
"1100"," 5120
"
"1101"," 093
"
"1102"," 
"
"1103"," Haunter
"
"1104"," Amorphous
"
"1105"," —
"
"1106"," 20
"
"1107"," 5120
"
"1108"," 5376
"
"1109"," 5355
"
"1110"," 5140
"
"1111"," 5120
"
"1112"," 094
"
"1113"," 
"
"1114"," Gengar
"
"1115"," Amorphous
"
"1116"," —
"
"1117"," 20
"
"1118"," 5120
"
"1119"," 5376
"
"1120"," 5355
"
"1121"," 5140
"
"1122"," 5120
"
"1123"," 095
"
"1124"," 
"
"1125"," Onix
"
"1126"," Mineral
"
"1127"," —
"
"1128"," 25
"
"1129"," 6400
"
"1130"," 6656
"
"1131"," 6630
"
"1132"," 6425
"
"1133"," 6400
"
"1134"," 208
"
"1135"," 
"
"1136"," Steelix
"
"1137"," Mineral
"
"1138"," —
"
"1139"," 25
"
"1140"," 6400
"
"1141"," 6656
"
"1142"," 6630
"
"1143"," 6425
"
"1144"," 6400
"
"1145"," 096
"
"1146"," 
"
"1147"," Drowzee
"
"1148"," Human-Like
"
"1149"," —
"
"1150"," 20
"
"1151"," 5120
"
"1152"," 5376
"
"1153"," 5355
"
"1154"," 5140
"
"1155"," 5120
"
"1156"," 097
"
"1157"," 
"
"1158"," Hypno
"
"1159"," Human-Like
"
"1160"," —
"
"1161"," 20
"
"1162"," 5120
"
"1163"," 5376
"
"1164"," 5355
"
"1165"," 5140
"
"1166"," 5120
"
"1167"," 098
"
"1168"," 
"
"1169"," Krabby
"
"1170"," Water 3
"
"1171"," —
"
"1172"," 20
"
"1173"," 5120
"
"1174"," 5376
"
"1175"," 5355
"
"1176"," 5140
"
"1177"," 5120
"
"1178"," 099
"
"1179"," 
"
"1180"," Kingler
"
"1181"," Water 3
"
"1182"," —
"
"1183"," 20
"
"1184"," 5120
"
"1185"," 5376
"
"1186"," 5355
"
"1187"," 5140
"
"1188"," 5120
"
"1189"," 100
"
"1190"," 
"
"1191"," Voltorb
"
"1192"," Mineral
"
"1193"," —
"
"1194"," 20
"
"1195"," 5120
"
"1196"," 5376
"
"1197"," 5355
"
"1198"," 5140
"
"1199"," 5120
"
"1200"," 101
"
"1201"," 
"
"1202"," Electrode
"
"1203"," Mineral
"
"1204"," —
"
"1205"," 20
"
"1206"," 5120
"
"1207"," 5376
"
"1208"," 5355
"
"1209"," 5140
"
"1210"," 5120
"
"1211"," 102
"
"1212"," 
"
"1213"," Exeggcute
"
"1214"," Grass
"
"1215"," —
"
"1216"," 20
"
"1217"," 5120
"
"1218"," 5376
"
"1219"," 5355
"
"1220"," 5140
"
"1221"," 5120
"
"1222"," 103
"
"1223"," 
"
"1224"," Exeggutor
"
"1225"," Grass
"
"1226"," —
"
"1227"," 20
"
"1228"," 5120
"
"1229"," 5376
"
"1230"," 5355
"
"1231"," 5140
"
"1232"," 5120
"
"1233"," 104
"
"1234"," 
"
"1235"," Cubone
"
"1236"," Monster
"
"1237"," —
"
"1238"," 20
"
"1239"," 5120
"
"1240"," 5376
"
"1241"," 5355
"
"1242"," 5140
"
"1243"," 5120
"
"1244"," 105
"
"1245"," 
"
"1246"," Marowak
"
"1247"," Monster
"
"1248"," —
"
"1249"," 20
"
"1250"," 5120
"
"1251"," 5376
"
"1252"," 5355
"
"1253"," 5140
"
"1254"," 5120
"
"1255"," 236
"
"1256"," 
"
"1257"," Tyrogue
"
"1258"," Undiscovered
"
"1259"," —
"
"1260"," 25
"
"1261"," 6400
"
"1262"," 6656
"
"1263"," 6630
"
"1264"," 6425
"
"1265"," 6400
"
"1266"," 106
"
"1267"," 
"
"1268"," Hitmonlee
"
"1269"," Human-Like
"
"1270"," —
"
"1271"," 25
"
"1272"," 6400
"
"1273"," 6656
"
"1274"," 6630
"
"1275"," 6425
"
"1276"," 6400
"
"1277"," 107
"
"1278"," 
"
"1279"," Hitmonchan
"
"1280"," Human-Like
"
"1281"," —
"
"1282"," 25
"
"1283"," 6400
"
"1284"," 6656
"
"1285"," 6630
"
"1286"," 6425
"
"1287"," 6400
"
"1288"," 237
"
"1289"," 
"
"1290"," Hitmontop
"
"1291"," Human-Like
"
"1292"," —
"
"1293"," 25
"
"1294"," 6400
"
"1295"," 6656
"
"1296"," 6630
"
"1297"," 6425
"
"1298"," 6400
"
"1299"," 108
"
"1300"," 
"
"1301"," Lickitung
"
"1302"," Monster
"
"1303"," —
"
"1304"," 20
"
"1305"," 5120
"
"1306"," 5376
"
"1307"," 5355
"
"1308"," 5140
"
"1309"," 5120
"
"1310"," 463
"
"1311"," 
"
"1312"," Lickilicky
"
"1313"," Monster
"
"1314"," —
"
"1315"," 20
"
"1316"," —
"
"1317"," —
"
"1318"," 5355
"
"1319"," 5140
"
"1320"," 5120
"
"1321"," 109
"
"1322"," 
"
"1323"," Koffing
"
"1324"," Amorphous
"
"1325"," —
"
"1326"," 20
"
"1327"," 5120
"
"1328"," 5376
"
"1329"," 5355
"
"1330"," 5140
"
"1331"," 5120
"
"1332"," 110
"
"1333"," 
"
"1334"," Weezing
"
"1335"," Amorphous
"
"1336"," —
"
"1337"," 20
"
"1338"," 5120
"
"1339"," 5376
"
"1340"," 5355
"
"1341"," 5140
"
"1342"," 5120
"
"1343"," 111
"
"1344"," 
"
"1345"," Rhyhorn
"
"1346"," Monster
"
"1347"," Field
"
"1348"," 20
"
"1349"," 5120
"
"1350"," 5376
"
"1351"," 5355
"
"1352"," 5140
"
"1353"," 5120
"
"1354"," 112
"
"1355"," 
"
"1356"," Rhydon
"
"1357"," Monster
"
"1358"," Field
"
"1359"," 20
"
"1360"," 5120
"
"1361"," 5376
"
"1362"," 5355
"
"1363"," 5140
"
"1364"," 5120
"
"1365"," 464
"
"1366"," 
"
"1367"," Rhyperior
"
"1368"," Monster
"
"1369"," Field
"
"1370"," 20
"
"1371"," —
"
"1372"," —
"
"1373"," 5355
"
"1374"," 5140
"
"1375"," 5120
"
"1376"," 440
"
"1377"," 
"
"1378"," Happiny
"
"1379"," Undiscovered
"
"1380"," —
"
"1381"," 40
"
"1382"," —
"
"1383"," —
"
"1384"," 10455
"
"1385"," 10280
"
"1386"," 10240
"
"1387"," 113
"
"1388"," 
"
"1389"," Chansey
"
"1390"," Fairy
"
"1391"," —
"
"1392"," 40
"
"1393"," 10240
"
"1394"," 10496
"
"1395"," 10455
"
"1396"," 10280
"
"1397"," 10240
"
"1398"," 242
"
"1399"," 
"
"1400"," Blissey
"
"1401"," Fairy
"
