"","ID","Pokemon.Name","Gen.2.Steps","Gen.3.Steps","Gen.4.Steps","Gen.5.6.Steps","Gen.7.Steps"
"40",38," Ninetales",5120,5376,5355,5140,5120
"41",174," Igglybuff",2560,2816,2805,2570,2560
"42",39," Jigglypuff",2560,2816,2805,2570,2560
"43",40," Wigglytuff",2560,2816,2805,2570,2560
"44",41," Zubat",3840,4096,4080,3855,3840
"45",42," Golbat",3840,4096,4080,3855,3840
"46",169," Crobat",3840,4096,4080,3855,3840
"47",43," Oddish",5120,5376,5355,5140,5120
"48",44," Gloom",5120,5376,5355,5140,5120
"49",45," Vileplume",5120,5376,5355,5140,5120
"50",182," Bellossom",5120,5376,5355,5140,5120
"51",46," Paras",5120,5376,5355,5140,5120
"52",47," Parasect",5120,5376,5355,5140,5120
"53",48," Venonat",5120,5376,5355,5140,5120
"54",49," Venomoth",5120,5376,5355,5140,5120
"55",50," Diglett",5120,5376,5355,5140,5120
"56",51," Dugtrio",5120,5376,5355,5140,5120
"57",52," Meowth",5120,5376,5355,5140,5120
"58",53," Persian",5120,5376,5355,5140,5120
"59",54," Psyduck",5120,5376,5355,5140,5120
"60",55," Golduck",5120,5376,5355,5140,5120
"61",56," Mankey",5120,5376,5355,5140,5120
"62",57," Primeape",5120,5376,5355,5140,5120
"63",58," Growlithe",5120,5376,5355,5140,5120
"64",59," Arcanine",5120,5376,5355,5140,5120
"65",60," Poliwag",5120,5376,5355,5140,5120
"66",61," Poliwhirl",5120,5376,5355,5140,5120
"67",62," Poliwrath",5120,5376,5355,5140,5120
"68",186," Politoed",5120,5376,5355,5140,5120
"69",63," Abra",5120,5376,5355,5140,5120
"70",64," Kadabra",5120,5376,5355,5140,5120
"71",65," Alakazam",5120,5376,5355,5140,5120
"72",66," Machop",5120,5376,5355,5140,5120
"73",67," Machoke",5120,5376,5355,5140,5120
"74",68," Machamp",5120,5376,5355,5140,5120
"75",69," Bellsprout",5120,5376,5355,5140,5120
"76",70," Weepinbell",5120,5376,5355,5140,5120
"77",71," Victreebel",5120,5376,5355,5140,5120
"78",72," Tentacool",5120,5376,5355,5140,5120
"79",73," Tentacruel",5120,5376,5355,5140,5120
"80",74," Geodude",3840,4096,4080,3855,3840
"81",75," Graveler",3840,4096,4080,3855,3840
"82",76," Golem",3840,4096,4080,3855,3840
"83",77," Ponyta",5120,5376,5355,5140,5120
"84",78," Rapidash",5120,5376,5355,5140,5120
"85",79," Slowpoke",5120,5376,5355,5140,5120
"86",80," Slowbro",5120,5376,5355,5140,5120
"87",199," Slowking",5120,5376,5355,5140,5120
"88",81," Magnemite",5120,5376,5355,5140,5120
"89",82," Magneton",5120,5376,5355,5140,5120
"90",462," Magnezone",NA,NA,5355,5140,5120
"91",83," Farfetch'd",5120,5376,5355,5140,5120
"92",84," Doduo",5120,5376,5355,5140,5120
"93",85," Dodrio",5120,5376,5355,5140,5120
"94",86," Seel",5120,5376,5355,5140,5120
"95",87," Dewgong",5120,5376,5355,5140,5120
"96",88," Grimer",5120,5376,5355,5140,5120
"97",89," Muk",5120,5376,5355,5140,5120
"98",90," Shellder",5120,5376,5355,5140,5120
"99",91," Cloyster",5120,5376,5355,5140,5120
"100",92," Gastly",5120,5376,5355,5140,5120
"101",93," Haunter",5120,5376,5355,5140,5120
"102",94," Gengar",5120,5376,5355,5140,5120
"103",95," Onix",6400,6656,6630,6425,6400
"104",208," Steelix",6400,6656,6630,6425,6400
"105",96," Drowzee",5120,5376,5355,5140,5120
"106",97," Hypno",5120,5376,5355,5140,5120
"107",98," Krabby",5120,5376,5355,5140,5120
"108",99," Kingler",5120,5376,5355,5140,5120
"109",100," Voltorb",5120,5376,5355,5140,5120
"110",101," Electrode",5120,5376,5355,5140,5120
"111",102," Exeggcute",5120,5376,5355,5140,5120
"112",103," Exeggutor",5120,5376,5355,5140,5120
"113",104," Cubone",5120,5376,5355,5140,5120
"114",105," Marowak",5120,5376,5355,5140,5120
"115",236," Tyrogue",6400,6656,6630,6425,6400
"116",106," Hitmonlee",6400,6656,6630,6425,6400
"117",107," Hitmonchan",6400,6656,6630,6425,6400
"118",237," Hitmontop",6400,6656,6630,6425,6400
"119",108," Lickitung",5120,5376,5355,5140,5120
"120",463," Lickilicky",NA,NA,5355,5140,5120
"121",109," Koffing",5120,5376,5355,5140,5120
"122",110," Weezing",5120,5376,5355,5140,5120
"123",111," Rhyhorn",5120,5376,5355,5140,5120
"124",112," Rhydon",5120,5376,5355,5140,5120
"125",464," Rhyperior",NA,NA,5355,5140,5120
"126",440," Happiny",NA,NA,10455,10280,10240
"127",113," Chansey",10240,10496,10455,10280,10240
"128",242," Blissey",10240,10496,10455,10280,10240
"129",114," Tangela",5120,5376,5355,5140,5120
"130",465," Tangrowth",NA,NA,5355,5140,5120
"131",115," Kangaskhan",5120,5376,5355,5140,5120
"132",116," Horsea",5120,5376,5355,5140,5120
"133",117," Seadra",5120,5376,5355,5140,5120
"134",230," Kingdra",5120,5376,5355,5140,5120
"135",118," Goldeen",5120,5376,5355,5140,5120
"136",119," Seaking",5120,5376,5355,5140,5120
"137",120," Staryu",5120,5376,5355,5140,5120
"138",121," Starmie",5120,5376,5355,5140,5120
"139",439," Mime Jr.",NA,NA,6630,6425,6400
"140",122," Mr. Mime",6400,6656,6630,6425,6400
"141",123," Scyther",6400,6656,6630,6425,6400
"142",212," Scizor",6400,6656,6630,6425,6400
"143",238," Smoochum",6400,6656,6630,6425,6400
"144",124," Jynx",6400,6656,6630,6425,6400
"145",239," Elekid",6400,6656,6630,6425,6400
"146",125," Electabuzz",6400,6656,6630,6425,6400
"147",466," Electivire",NA,NA,6630,6425,6400
"148",240," Magby",6400,6656,6630,6425,6400
"149",126," Magmar",6400,6656,6630,6425,6400
"150",467," Magmortar",NA,NA,6630,6425,6400
"151",127," Pinsir",6400,6656,6630,6425,6400
"152",128," Tauros",5120,5376,5355,5140,5120
"153",129," Magikarp",1280,1536,1530,1285,1280
"154",130," Gyarados",1280,1536,1530,1285,1280
"155",131," Lapras",10240,10496,10455,10280,10240
"156",132," Ditto",5120,5376,5355,5140,5120
"157",133," Eevee",8960,9216,9180,8995,8960
"158",134," Vaporeon",8960,9216,9180,8995,8960
"159",135," Jolteon",8960,9216,9180,8995,8960
"160",136," Flareon",8960,9216,9180,8995,8960
"161",196," Espeon",8960,9216,9180,8995,8960
"162",197," Umbreon",8960,9216,9180,8995,8960
"163",470," Leafeon",NA,NA,9180,8995,8960
"164",471," Glaceon",NA,NA,9180,8995,8960
"165",700," Sylveon",NA,NA,NA,8995,8960
"166",137," Porygon",5120,5376,5355,5140,5120
"167",233," Porygon2",5120,5376,5355,5140,5120
"168",474," Porygon-Z",NA,NA,5355,5140,5120
"169",138," Omanyte",7680,7936,7905,7710,7680
"170",139," Omastar",7680,7936,7905,7710,7680
"171",140," Kabuto",7680,7936,7905,7710,7680
"172",141," Kabutops",7680,7936,7905,7710,7680
"173",142," Aerodactyl",8960,9216,9180,8995,8960
"174",446," Munchlax",NA,NA,10455,10280,10240
"175",143," Snorlax",10240,10496,10455,10280,10240
"176",144," Articuno",20480,20736,20655,20560,20480
"177",145," Zapdos",20480,20736,20655,20560,20480
"178",146," Moltres",20480,20736,20655,20560,20480
"179",147," Dratini",10240,10496,10455,10280,10240
"180",148," Dragonair",10240,10496,10455,10280,10240
"181",149," Dragonite",10240,10496,10455,10280,10240
"182",150," Mewtwo",30720,30976,30855,30840,30720
"183",151," Mew",30720,30976,30855,30840,30720
"184",152," Chikorita",5120,5376,5355,5140,5120
"185",153," Bayleef",5120,5376,5355,5140,5120
"186",154," Meganium",5120,5376,5355,5140,5120
"187",155," Cyndaquil",5120,5376,5355,5140,5120
"188",156," Quilava",5120,5376,5355,5140,5120
"189",157," Typhlosion",5120,5376,5355,5140,5120
"190",158," Totodile",5120,5376,5355,5140,5120
"191",159," Croconaw",5120,5376,5355,5140,5120
"192",160," Feraligatr",5120,5376,5355,5140,5120
"193",161," Sentret",3840,4096,4080,3855,3840
"194",162," Furret",3840,4096,4080,3855,3840
"195",163," Hoothoot",3840,4096,4080,3855,3840
"196",164," Noctowl",3840,4096,4080,3855,3840
"197",165," Ledyba",3840,4096,4080,3855,3840
"198",166," Ledian",3840,4096,4080,3855,3840
"199",167," Spinarak",3840,4096,4080,3855,3840
"200",168," Ariados",3840,4096,4080,3855,3840
"201",170," Chinchou",5120,5376,5355,5140,5120
"202",171," Lanturn",5120,5376,5355,5140,5120
"203",175," Togepi",2560,2816,2805,2570,2560
"204",176," Togetic",2560,2816,2805,2570,2560
"205",468," Togekiss",NA,NA,2805,2570,2560
"206",177," Natu",5120,5376,5355,5140,5120
"207",178," Xatu",5120,5376,5355,5140,5120
"208",179," Mareep",5120,5376,5355,5140,5120
"209",180," Flaaffy",5120,5376,5355,5140,5120
"210",181," Ampharos",5120,5376,5355,5140,5120
"211",298," Azurill",NA,2816,2805,2570,2560
"212",183," Marill",2560,2816,2805,2570,2560
"213",184," Azumarill",2560,2816,2805,2570,2560
"214",438," Bonsly",NA,NA,5355,5140,5120
"215",185," Sudowoodo",5120,5376,5355,5140,5120
"216",187," Hoppip",5120,5376,5355,5140,5120
"217",188," Skiploom",5120,5376,5355,5140,5120
"218",189," Jumpluff",5120,5376,5355,5140,5120
"219",190," Aipom",5120,5376,5355,5140,5120
"220",424," Ambipom",NA,NA,5355,5140,5120
"221",191," Sunkern",5120,5376,5355,5140,5120
"222",192," Sunflora",5120,5376,5355,5140,5120
"223",193," Yanma",5120,5376,5355,5140,5120
"224",469," Yanmega",NA,NA,5355,5140,5120
"225",194," Wooper",5120,5376,5355,5140,5120
"226",195," Quagsire",5120,5376,5355,5140,5120
"227",198," Murkrow",5120,5376,5355,5140,5120
"228",430," Honchkrow",NA,NA,5355,5140,5120
"229",200," Misdreavus",6400,6656,6630,6425,6400
"230",429," Mismagius",NA,NA,6630,6425,6400
"231",201," Unown",10240,10496,10455,10280,10240
"232",360," Wynaut",NA,5376,5355,5140,5120
"233",202," Wobbuffet",5120,5376,5355,5140,5120
"234",203," Girafarig",5120,5376,5355,5140,5120
"235",204," Pineco",5120,5376,5355,5140,5120
"236",205," Forretress",5120,5376,5355,5140,5120
"237",206," Dunsparce",5120,5376,5355,5140,5120
"238",207," Gligar",5120,5376,5355,5140,5120
"239",472," Gliscor",NA,NA,5355,5140,5120
"240",209," Snubbull",5120,5376,5355,5140,5120
"241",210," Granbull",5120,5376,5355,5140,5120
"242",211," Qwilfish",5120,5376,5355,5140,5120
"243",213," Shuckle",5120,5376,5355,5140,5120
"244",214," Heracross",6400,6656,6630,6425,6400
"245",215," Sneasel",5120,5376,5355,5140,5120
"246",461," Weavile",NA,NA,5355,5140,5120
"247",216," Teddiursa",5120,5376,5355,5140,5120
"248",217," Ursaring",5120,5376,5355,5140,5120
"249",218," Slugma",5120,5376,5355,5140,5120
"250",219," Magcargo",5120,5376,5355,5140,5120
"251",220," Swinub",5120,5376,5355,5140,5120
"252",221," Piloswine",5120,5376,5355,5140,5120
"253",473," Mamoswine",NA,NA,5355,5140,5120
"254",222," Corsola",5120,5376,5355,5140,5120
"255",223," Remoraid",5120,5376,5355,5140,5120
"256",224," Octillery",5120,5376,5355,5140,5120
"257",225," Delibird",5120,5376,5355,5140,5120
"258",458," Mantyke",NA,NA,6630,6425,6400
"259",226," Mantine",6400,6656,6630,6425,6400
"260",227," Skarmory",6400,6656,6630,6425,6400
"261",228," Houndour",5120,5376,5355,5140,5120
"262",229," Houndoom",5120,5376,5355,5140,5120
"263",231," Phanpy",5120,5376,5355,5140,5120
"264",232," Donphan",5120,5376,5355,5140,5120
"265",234," Stantler",5120,5376,5355,5140,5120
"266",235," Smeargle",5120,5376,5355,5140,5120
"267",241," Miltank",5120,5376,5355,5140,5120
"268",243," Raikou",20480,20736,20655,20560,20480
"269",244," Entei",20480,20736,20655,20560,20480
"270",245," Suicune",20480,20736,20655,20560,20480
"271",246," Larvitar",10240,10496,10455,10280,10240
"272",247," Pupitar",10240,10496,10455,10280,10240
"273",248," Tyranitar",10240,10496,10455,10280,10240
"274",249," Lugia",30720,30976,30855,30840,30720
"275",250," Ho-Oh",30720,30976,30855,30840,30720
"276",251," Celebi",30720,30976,30855,30840,30720
"277",252," Treecko",NA,5376,5355,5140,5120
"278",253," Grovyle",NA,5376,5355,5140,5120
"279",254," Sceptile",NA,5376,5355,5140,5120
"280",255," Torchic",NA,5376,5355,5140,5120
"281",256," Combusken",NA,5376,5355,5140,5120
"282",257," Blaziken",NA,5376,5355,5140,5120
"283",258," Mudkip",NA,5376,5355,5140,5120
"284",259," Marshtomp",NA,5376,5355,5140,5120
"285",260," Swampert",NA,5376,5355,5140,5120
"286",261," Poochyena",NA,4096,4080,3855,3840
"287",262," Mightyena",NA,4096,4080,3855,3840
"288",263," Zigzagoon",NA,4096,4080,3855,3840
"289",264," Linoone",NA,4096,4080,3855,3840
"290",265," Wurmple",NA,4096,4080,3855,3840
"291",266," Silcoon",NA,4096,4080,3855,3840
"292",267," Beautifly",NA,4096,4080,3855,3840
"293",268," Cascoon",NA,4096,4080,3855,3840
"294",269," Dustox",NA,4096,4080,3855,3840
"295",270," Lotad",NA,4096,4080,3855,3840
"296",271," Lombre",NA,4096,4080,3855,3840
"297",272," Ludicolo",NA,4096,4080,3855,3840
"298",273," Seedot",NA,4096,4080,3855,3840
"299",274," Nuzleaf",NA,4096,4080,3855,3840
"300",275," Shiftry",NA,4096,4080,3855,3840
"301",276," Taillow",NA,4096,4080,3855,3840
"302",277," Swellow",NA,4096,4080,3855,3840
"303",278," Wingull",NA,5376,5355,5140,5120
"304",279," Pelipper",NA,5376,5355,5140,5120
"305",280," Ralts",NA,5376,5355,5140,5120
"306",281," Kirlia",NA,5376,5355,5140,5120
"307",282," Gardevoir",NA,5376,5355,5140,5120
"308",475," Gallade",NA,NA,5355,5140,5120
"309",283," Surskit",NA,4096,4080,3855,3840
"310",284," Masquerain",NA,4096,4080,3855,3840
"311",285," Shroomish",NA,4096,4080,3855,3840
"312",286," Breloom",NA,4096,4080,3855,3840
"313",287," Slakoth",NA,4096,4080,3855,3840
"314",288," Vigoroth",NA,4096,4080,3855,3840
"315",289," Slaking",NA,4096,4080,3855,3840
"316",290," Nincada",NA,4096,4080,3855,3840
"317",291," Ninjask",NA,4096,4080,3855,3840
"318",292," Shedinja",NA,4096,4080,3855,3840
"319",293," Whismur",NA,5376,5355,5140,5120
"320",294," Loudred",NA,5376,5355,5140,5120
"321",295," Exploud",NA,5376,5355,5140,5120
"322",296," Makuhita",NA,5376,5355,5140,5120
"323",297," Hariyama",NA,5376,5355,5140,5120
"324",299," Nosepass",NA,5376,5355,5140,5120
"325",476," Probopass",NA,NA,5355,5140,5120
"326",300," Skitty",NA,4096,4080,3855,3840
"327",301," Delcatty",NA,4096,4080,3855,3840
"328",302," Sableye",NA,6656,6630,6425,6400
"329",303," Mawile",NA,5376,5355,5140,5120
"330",304," Aron",NA,9216,9180,8995,8960
"331",305," Lairon",NA,9216,9180,8995,8960
"332",306," Aggron",NA,9216,9180,8995,8960
"333",307," Meditite",NA,5376,5355,5140,5120
"334",308," Medicham",NA,5376,5355,5140,5120
"335",309," Electrike",NA,5376,5355,5140,5120
"336",310," Manectric",NA,5376,5355,5140,5120
"337",311," Plusle",NA,5376,5355,5140,5120
"338",312," Minun",NA,5376,5355,5140,5120
"339",313," Volbeat",NA,4096,4080,3855,3840
"340",314," Illumise",NA,4096,4080,3855,3840
"341",406," Budew",NA,NA,5355,5140,5120
"342",315," Roselia",NA,5376,5355,5140,5120
"343",407," Roserade",NA,NA,5355,5140,5120
"344",316," Gulpin",NA,5376,5355,5140,5120
"345",317," Swalot",NA,5376,5355,5140,5120
"346",318," Carvanha",NA,5376,5355,5140,5120
"347",319," Sharpedo",NA,5376,5355,5140,5120
"348",320," Wailmer",NA,10496,10455,10280,10240
"349",321," Wailord",NA,10496,10455,10280,10240
"350",322," Numel",NA,5376,5355,5140,5120
"351",323," Camerupt",NA,5376,5355,5140,5120
"352",324," Torkoal",NA,5376,5355,5140,5120
"353",325," Spoink",NA,5376,5355,5140,5120
"354",326," Grumpig",NA,5376,5355,5140,5120
"355",327," Spinda",NA,4096,4080,3855,3840
"356",328," Trapinch",NA,5376,5355,5140,5120
"357",329," Vibrava",NA,5376,5355,5140,5120
"358",330," Flygon",NA,5376,5355,5140,5120
"359",331," Cacnea",NA,5376,5355,5140,5120
"360",332," Cacturne",NA,5376,5355,5140,5120
"361",333," Swablu",NA,5376,5355,5140,5120
"362",334," Altaria",NA,5376,5355,5140,5120
"363",335," Zangoose",NA,5376,5355,5140,5120
"364",336," Seviper",NA,5376,5355,5140,5120
"365",337," Lunatone",NA,6656,6630,6425,6400
"366",338," Solrock",NA,6656,6630,6425,6400
"367",339," Barboach",NA,5376,5355,5140,5120
"368",340," Whiscash",NA,5376,5355,5140,5120
"369",341," Corphish",NA,4096,4080,3855,3840
"370",342," Crawdaunt",NA,4096,4080,3855,3840
"371",343," Baltoy",NA,5376,5355,5140,5120
"372",344," Claydol",NA,5376,5355,5140,5120
"373",345," Lileep",NA,7936,7905,7710,7680
"374",346," Cradily",NA,7936,7905,7710,7680
"375",347," Anorith",NA,7936,7905,7710,7680
"376",348," Armaldo",NA,7936,7905,7710,7680
"377",349," Feebas",NA,5376,5355,5140,5120
"378",350," Milotic",NA,5376,5355,5140,5120
"379",351," Castform",NA,6656,6630,6425,6400
"380",352," Kecleon",NA,5376,5355,5140,5120
"381",353," Shuppet",NA,6656,6630,6425,6400
"382",354," Banette",NA,6656,6630,6425,6400
"383",355," Duskull",NA,6656,6630,6425,6400
"384",356," Dusclops",NA,6656,6630,6425,6400
"385",477," Dusknoir",NA,NA,6630,6425,6400
"386",357," Tropius",NA,6656,6630,6425,6400
"387",433," Chingling",NA,NA,6630,6425,6400
"388",358," Chimecho",NA,6656,6630,6425,6400
"389",359," Absol",NA,6656,6630,6425,6400
"390",361," Snorunt",NA,5376,5355,5140,5120
"391",362," Glalie",NA,5376,5355,5140,5120
"392",478," Froslass",NA,NA,5355,5140,5120
"393",363," Spheal",NA,5376,5355,5140,5120
"394",364," Sealeo",NA,5376,5355,5140,5120
"395",365," Walrein",NA,5376,5355,5140,5120
"396",366," Clamperl",NA,5376,5355,5140,5120
"397",367," Huntail",NA,5376,5355,5140,5120
"398",368," Gorebyss",NA,5376,5355,5140,5120
"399",369," Relicanth",NA,10496,10455,10280,10240
"400",370," Luvdisc",NA,5376,5355,5140,5120
"401",371," Bagon",NA,10496,10455,10280,10240
"402",372," Shelgon",NA,10496,10455,10280,10240
"403",373," Salamence",NA,10496,10455,10280,10240
"404",374," Beldum",NA,10496,10455,10280,10240
"405",375," Metang",NA,10496,10455,10280,10240
"406",376," Metagross",NA,10496,10455,10280,10240
"407",377," Regirock",NA,20736,20655,20560,20480
"408",378," Regice",NA,20736,20655,20560,20480
"409",379," Registeel",NA,20736,20655,20560,20480
"410",380," Latias",NA,30976,30855,30840,30720
"411",381," Latios",NA,30976,30855,30840,30720
"412",382," Kyogre",NA,30976,30855,30840,30720
"413",383," Groudon",NA,30976,30855,30840,30720
"414",384," Rayquaza",NA,30976,30855,30840,30720
"415",385," Jirachi",NA,30976,30855,30840,30720
"416",386," Deoxys",NA,30976,30855,30840,30720
"417",387," Turtwig",NA,NA,5355,5140,5120
"418",388," Grotle",NA,NA,5355,5140,5120
"419",389," Torterra",NA,NA,5355,5140,5120
"420",390," Chimchar",NA,NA,5355,5140,5120
"421",391," Monferno",NA,NA,5355,5140,5120
"422",392," Infernape",NA,NA,5355,5140,5120
"423",393," Piplup",NA,NA,5355,5140,5120
"424",394," Prinplup",NA,NA,5355,5140,5120
"425",395," Empoleon",NA,NA,5355,5140,5120
"426",396," Starly",NA,NA,4080,3855,3840
"427",397," Staravia",NA,NA,4080,3855,3840
"428",398," Staraptor",NA,NA,4080,3855,3840
"429",399," Bidoof",NA,NA,4080,3855,3840
"430",400," Bibarel",NA,NA,4080,3855,3840
"431",401," Kricketot",NA,NA,4080,3855,3840
"432",402," Kricketune",NA,NA,4080,3855,3840
"433",403," Shinx",NA,NA,5355,5140,5120
"434",404," Luxio",NA,NA,5355,5140,5120
"435",405," Luxray",NA,NA,5355,5140,5120
"436",408," Cranidos",NA,NA,7905,7710,7680
"437",409," Rampardos",NA,NA,7905,7710,7680
"438",410," Shieldon",NA,NA,7905,7710,7680
"439",411," Bastiodon",NA,NA,7905,7710,7680
"440",412," Burmy",NA,NA,4080,3855,3840
"441",413," Wormadam",NA,NA,4080,3855,3840
"442",414," Mothim",NA,NA,4080,3855,3840
"443",415," Combee",NA,NA,4080,3855,3840
"444",416," Vespiquen",NA,NA,4080,3855,3840
"445",417," Pachirisu",NA,NA,2805,2570,2560
"446",418," Buizel",NA,NA,5355,5140,5120
"447",419," Floatzel",NA,NA,5355,5140,5120
"448",420," Cherubi",NA,NA,5355,5140,5120
"449",421," Cherrim",NA,NA,5355,5140,5120
"450",422," Shellos",NA,NA,5355,5140,5120
"451",423," Gastrodon",NA,NA,5355,5140,5120
"452",425," Drifloon",NA,NA,7905,7710,7680
"453",426," Drifblim",NA,NA,7905,7710,7680
"454",427," Buneary",NA,NA,5355,5140,5120
"455",428," Lopunny",NA,NA,5355,5140,5120
"456",431," Glameow",NA,NA,5355,5140,5120
"457",432," Purugly",NA,NA,5355,5140,5120
"458",434," Stunky",NA,NA,5355,5140,5120
"459",435," Skuntank",NA,NA,5355,5140,5120
"460",436," Bronzor",NA,NA,5355,5140,5120
"461",437," Bronzong",NA,NA,5355,5140,5120
"462",441," Chatot",NA,NA,5355,5140,5120
"463",442," Spiritomb",NA,NA,7905,7710,7680
"464",443," Gible",NA,NA,10455,10280,10240
"465",444," Gabite",NA,NA,10455,10280,10240
"466",445," Garchomp",NA,NA,10455,10280,10240
"467",447," Riolu",NA,NA,6630,6425,6400
"468",448," Lucario",NA,NA,6630,6425,6400
"469",449," Hippopotas",NA,NA,7905,7710,7680
"470",450," Hippowdon",NA,NA,7905,7710,7680
"471",451," Skorupi",NA,NA,5355,5140,5120
"472",452," Drapion",NA,NA,5355,5140,5120
"473",453," Croagunk",NA,NA,2805,2570,2560
"474",454," Toxicroak",NA,NA,5355,5140,5120
"475",455," Carnivine",NA,NA,6630,6425,6400
"476",456," Finneon",NA,NA,5355,5140,5120
"477",457," Lumineon",NA,NA,5355,5140,5120
"478",459," Snover",NA,NA,5355,5140,5120
"479",460," Abomasnow",NA,NA,5355,5140,5120
"480",479," Rotom",NA,NA,5355,5140,5120
"481",480," Uxie",NA,NA,20655,20560,20480
"482",481," Mesprit",NA,NA,20655,20560,20480
"483",482," Azelf",NA,NA,20655,20560,20480
"484",483," Dialga",NA,NA,30855,30840,30720
"485",484," Palkia",NA,NA,30855,30840,30720
"486",485," Heatran",NA,NA,2805,2570,2560
"487",486," Regigigas",NA,NA,30855,30840,30720
"488",487," Giratina",NA,NA,30855,30840,30720
"489",488," Cresselia",NA,NA,30855,30840,30720
"490",489," Phione",NA,NA,10455,10280,10240
"491",490," Manaphy",NA,NA,2805,2570,2560
"492",491," Darkrai",NA,NA,30855,30840,30720
"493",492," Shaymin",NA,NA,30855,30840,30720
"494",493," Arceus",NA,NA,30855,30840,30720
"495",494," Victini",NA,NA,NA,30840,30720
"496",495," Snivy",NA,NA,NA,5140,5120
"497",496," Servine",NA,NA,NA,5140,5120
"498",497," Serperior",NA,NA,NA,5140,5120
"499",498," Tepig",NA,NA,NA,5140,5120
"500",499," Pignite",NA,NA,NA,5140,5120
"501",500," Emboar",NA,NA,NA,5140,5120
"502",501," Oshawott",NA,NA,NA,5140,5120
"503",502," Dewott",NA,NA,NA,5140,5120
"504",503," Samurott",NA,NA,NA,5140,5120
"505",504," Patrat",NA,NA,NA,3855,3840
"506",505," Watchog",NA,NA,NA,5140,5120
"507",506," Lillipup",NA,NA,NA,3855,3840
"508",507," Herdier",NA,NA,NA,3855,3840
"509",508," Stoutland",NA,NA,NA,3855,3840
"510",509," Purrloin",NA,NA,NA,5140,5120
"511",510," Liepard",NA,NA,NA,5140,5120
"512",511," Pansage",NA,NA,NA,5140,5120
"513",512," Simisage",NA,NA,NA,5140,5120
"514",513," Pansear",NA,NA,NA,5140,5120
"515",514," Simisear",NA,NA,NA,5140,5120
"516",515," Panpour",NA,NA,NA,5140,5120
"517",516," Simipour",NA,NA,NA,5140,5120
"518",517," Munna",NA,NA,NA,2570,2560
"519",518," Musharna",NA,NA,NA,2570,2560
"520",519," Pidove",NA,NA,NA,3855,3840
"521",520," Tranquill",NA,NA,NA,3855,3840
"522",521," Unfezant",NA,NA,NA,3855,3840
"523",522," Blitzle",NA,NA,NA,5140,5120
"524",523," Zebstrika",NA,NA,NA,5140,5120
"525",524," Roggenrola",NA,NA,NA,3855,3840
"526",525," Boldore",NA,NA,NA,3855,3840
"527",526," Gigalith",NA,NA,NA,3855,3840
"528",527," Woobat",NA,NA,NA,3855,3840
"529",528," Swoobat",NA,NA,NA,3855,3840
"530",529," Drilbur",NA,NA,NA,5140,5120
"531",530," Excadrill",NA,NA,NA,5140,5120
"532",531," Audino",NA,NA,NA,5140,5120
"533",532," Timburr",NA,NA,NA,5140,5120
"534",533," Gurdurr",NA,NA,NA,5140,5120
"535",534," Conkeldurr",NA,NA,NA,5140,5120
"536",535," Tympole",NA,NA,NA,5140,5120
"537",536," Palpitoad",NA,NA,NA,5140,5120
"538",537," Seismitoad",NA,NA,NA,5140,5120
"539",538," Throh",NA,NA,NA,5140,5120
"540",539," Sawk",NA,NA,NA,5140,5120
